Date;mm/day corrected
04.05.10;30.6
05.05.10;7.6
06.05.10;25.9
07.05.10;0.0
08.05.10;24.1
09.05.10;23.3
10.05.10;16.4
11.05.10;10.7
12.05.10;86.9
13.05.10;125.0
14.05.10;61.3
15.05.10;27.8
16.05.10;47.4
17.05.10;0.9
18.05.10;0.1
19.05.10;16.0
20.05.10;221.3
21.05.10;110.7
22.05.10;40.7
23.05.10;0.1
24.05.10;1.9
25.05.10;0.1
26.05.10;45.8
27.05.10;19.8
28.05.10;3.4
29.05.10;4.2
30.05.10;0.9
31.05.10;9.6
01.06.10;15.9
02.06.10;98.8
03.06.10;35.8
04.06.10;5.3
05.06.10;28.3
06.06.10;54.0
07.06.10;154.0
08.06.10;256.2
09.06.10;218.0
10.06.10;104.4
11.06.10;3.9
12.06.10;5.6
13.06.10;2.3
14.06.10;177.2
15.06.10;18.9
16.06.10;84.0
17.06.10;23.0
18.06.10;5.2
19.06.10;29.5
20.06.10;100.7
21.06.10;203.7
22.06.10;147.9
23.06.10;48.2
24.06.10;19.1
25.06.10;22.7
26.06.10;63.9
27.06.10;300.4
28.06.10;204.0
29.06.10;162.0
30.06.10;24.1
01.07.10;44.9
02.07.10;57.9
03.07.10;19.6
04.07.10;54.4
05.07.10;28.7
06.07.10;110.0
07.07.10;63.9
08.07.10;68.8
09.07.10;145.3
10.07.10;156.2
11.07.10;159.9
12.07.10;103.2
13.07.10;102.5
14.07.10;39.4
15.07.10;37.8
16.07.10;4.7
17.07.10;0.8
18.07.10;23.4
19.07.10;34.0
20.07.10;67.1
21.07.10;164.0
22.07.10;138.3
23.07.10;141.4
24.07.10;98.7
25.07.10;17.3
26.07.10;23.9
27.07.10;12.7
28.07.10;0.3
29.07.10;1.8
30.07.10;8.5
31.07.10;64.0
01.08.10;114.4
02.08.10;21.9
03.08.10;0.7
04.08.10;1.9
05.08.10;26.8
06.08.10;8.4
07.08.10;36.9
08.08.10;0.4
09.08.10;0.0
10.08.10;0.1
11.08.10;0.0
12.08.10;0.8
13.08.10;1.1
14.08.10;19.2
15.08.10;45.8
16.08.10;40.8
17.08.10;118.6
18.08.10;137.7
19.08.10;67.5
20.08.10;104.0
21.08.10;176.2
22.08.10;302.3
23.08.10;235.0
24.08.10;19.7
25.08.10;8.1
26.08.10;2.2
27.08.10;13.5
28.08.10;56.4
29.08.10;26.1
30.08.10;37.3
31.08.10;32.0
01.09.10;56.4
02.09.10;1.0
03.09.10;0.0
04.09.10;18.0
05.09.10;62.4
06.09.10;34.5
07.09.10;13.8
08.09.10;10.5
09.09.10;0.4
10.09.10;0.5
11.09.10;0.4
12.09.10;0.1
13.09.10;0.0
14.09.10;0.0
15.09.10;0.0
16.09.10;0.0
17.09.10;0.0
18.09.10;0.0
19.09.10;0.0
20.09.10;0.0
21.09.10;0.0
22.09.10;0.0
23.09.10;0.0
24.09.10;5.7
25.09.10;1.3
26.09.10;92.1
27.09.10;114.0
28.09.10;18.4
29.09.10;0.0
30.09.10;0.0
01.10.10;1.7
02.10.10;0.0
03.10.10;0.0
04.10.10;0.0
05.10.10;0.3
06.10.10;6.9
07.10.10;2.3
08.10.10;101.9
09.10.10;198.1
10.10.10;3.9
11.10.10;0.0
12.10.10;0.0
13.10.10;0.0
14.10.10;0.0
15.10.10;0.0
16.10.10;0.1
17.10.10;4.1
18.10.10;0.2
19.10.10;0.0
20.10.10;0.0
21.10.10;10.5
22.10.10;0.7
23.10.10;1.6
24.10.10;0.0
25.10.10;0.2
26.10.10;0.0
27.10.10;0.0
28.10.10;0.0
29.10.10;0.0
30.10.10;0.0
31.10.10;0.0
01.11.10;0.1
02.11.10;0.6
03.11.10;1.3
04.11.10;0.0
05.11.10;0.0
06.11.10;0.0
07.11.10;0.0
08.11.10;0.0
09.11.10;0.0
10.11.10;0.0
11.11.10;0.0
12.11.10;0.0
13.11.10;0.1
14.11.10;0.0
15.11.10;0.0
16.11.10;0.0
17.11.10;0.0
18.11.10;0.0
19.11.10;0.0
20.11.10;23.1
21.11.10;2.0
22.11.10;0.0
23.11.10;0.0
24.11.10;0.0
25.11.10;0.0
26.11.10;0.0
27.11.10;0.0
28.11.10;0.0
29.11.10;0.0
30.11.10;0.0
01.12.10;0.0
02.12.10;0.0
03.12.10;0.0
04.12.10;0.0
05.12.10;0.0
06.12.10;0.0
07.12.10;0.7
08.12.10;0.1
09.12.10;21.1
10.12.10;11.6
11.12.10;0.0
12.12.10;0.0
13.12.10;0.0
14.12.10;0.0
15.12.10;0.0
16.12.10;0.0
17.12.10;0.0
18.12.10;0.0
19.12.10;0.0
20.12.10;0.0
21.12.10;0.0
22.12.10;0.0
23.12.10;0.0
24.12.10;0.0
25.12.10;0.0
26.12.10;0.0
27.12.10;0.0
28.12.10;0.0
29.12.10;0.0
30.12.10;0.0
31.12.10;0.0
01.01.11;0.0
02.01.11;0.5
03.01.11;0.0
04.01.11;0.0
05.01.11;0.0
06.01.11;0.0
07.01.11;0.0
08.01.11;0.0
09.01.11;0.0
10.01.11;0.0
11.01.11;0.0
12.01.11;0.0
13.01.11;0.0
14.01.11;0.0
15.01.11;0.0
16.01.11;0.0
17.01.11;10.6
18.01.11;0.0
19.01.11;0.0
20.01.11;0.0
21.01.11;0.0
22.01.11;0.0
23.01.11;0.0
24.01.11;0.0
25.01.11;0.0
26.01.11;0.0
27.01.11;0.0
28.01.11;0.0
29.01.11;0.0
30.01.11;0.0
31.01.11;0.0
01.02.11;0.0
02.02.11;0.0
03.02.11;0.0
04.02.11;0.0
05.02.11;0.0
06.02.11;0.0
07.02.11;0.0
08.02.11;0.0
09.02.11;0.0
